"LURN_SAK","INCIDENT_DATE","INCIDENT_REPORTED_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","GANG_RELATED","UNIT_ID","UNIT_NAME","LONGITUDE","LATITUDE","PART_CATEGORY"
20007677,"08/21/2022 10:05:00 AM","08/27/2022","VEHICLE / BOATING LAWS","250","VEHICLE AND BOATING LAWS: Hit And Run, Misdemeanor","228TH ST AND ISLAND AVE, CARSON, CA","228TH ST AND ISLAND AVE","CARSON",,"922-08685-1624","1624","08685","NO","CA0190016","CARSON",-118.267,33.819,2
20007261,"08/22/2022 02:00:00 PM","08/26/2022","SEX OFFENSES MISDEMEANORS","139","SEX MISDEMEANORS: All Other Sex Misdemeanors","9300 ROSE ST, BELLFLOWER, CA 90706","9300 ROSE ST","BELLFLOWER","90706","022-16934-1335","1335","16934","NO","CA0190013","LAKEWOOD",-118.135,33.869,2
20010956,"08/31/2022 07:14:00 AM","08/31/2022","MISDEMEANORS MISCELLANEOUS","391","MISDEMEANORS, MISCELLANEOUS: Trespassing","KATELLA AVE AND LEWIS ST, ANAHEIM, CA","KATELLA AVE AND LEWIS ST","ANAHEIM",,"922-00665-6313","6313","00665","NO","CA01900V6","METROLINK BUREAU",,,2
19994543,"08/12/2022 01:53:30 PM","08/13/2022","FRAUD AND NSF CHECKS","112","FRAUD: Fraud By False Pretenses","9700 LOCHINVAR DR, PICO RIVERA, CA 90660","9700 LOCHINVAR DR","PICO RIVERA","90660","922-04949-1517","1517","04949","NO","CA0190015","PICO RIVERA",-118.085,33.975,2
20000935,"07/29/2022 09:45:00 PM","08/20/2022","FRAUD AND NSF CHECKS","112","FRAUD: Fraud By False Pretenses","4900 OAKWOOD AVE, LA CANADA FLINTRIDGE, CA 91011","4900 OAKWOOD AVE","LA CANADA FLINTRIDGE","91011","022-01586-1262","1262","01586","NO","CA0190012","CRESCENTA VALLEY",-118.194,34.209,2
19985790,"08/02/2022 12:12:00 AM","08/04/2022","FRAUD AND NSF CHECKS","112","FRAUD: Fraud By False Pretenses","800 E PINE ST, COMPTON, CA 90221","800 E PINE ST","COMPTON","90221","922-10222-2823","2823","10222","NO","CA0190042","COMPTON",-118.215,33.911,2
20010884,"08/31/2022 03:06:00 AM","08/31/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","COLIMA RD AND DESIRE AVE, ROWLAND HEIGHTS, CA","COLIMA RD AND DESIRE AVE","ROWLAND HEIGHTS",,"922-06343-2932","2932","06343","NO","CA0190020","WALNUT",-117.896,33.987,2
20008345,"08/28/2022 08:00:00 AM","08/28/2022","LARCENY THEFT","383","THEFT, PETTY: Shoplifting (From Dept Store, Mkt, Etc)","8700 WHITTIER BLVD, PICO RIVERA, CA 90660","8700 WHITTIER BLVD","PICO RIVERA","90660","922-05299-1510","1510","05299","NO","CA0190015","PICO RIVERA",-118.086,34.002,1
19999523,"08/18/2022 04:33:00 PM","08/18/2022","NON-AGGRAVATED ASSAULTS","146","ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE","400 GOLDEN SPRINGS DR, DIAMOND BAR, CA 91765","400 GOLDEN SPRINGS DR","DIAMOND BAR","91765","022-05963-2920","2920","05963","NO","CA0190020","WALNUT",-117.795,34.031,2
19990160,"08/05/2022 11:34:00 AM","08/08/2022","ROBBERY","047","ROBBERY, STRONG-ARM: Other","4600 WASHINGTON BLVD, COMMERCE, CA","4600 WASHINGTON BLVD","COMMERCE",,"922-11768-0244","0244","11768","NO","CA0190002","EAST LOS ANGELES",-118.174,34.004,1
20004030,"08/23/2022 11:35:00 PM","08/24/2022","NON-AGGRAVATED ASSAULTS","146","ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE","24100 PALOMINO DR, DIAMOND BAR, CA 91765","24100 PALOMINO DR","DIAMOND BAR","91765","022-06130-2923","2923","06130","NO","CA0190020","WALNUT",-117.798,34.026,2
20005695,"08/25/2022 02:45:00 AM","08/25/2022","BURGLARY","062","BURGLARY, RESIDENCE: Night, Entry No Force","12900 GLENDA ST, CERRITOS, CA 90703","12900 GLENDA ST","CERRITOS","90703","922-03431-2316","2316","03431","NO","CA01900R7","CERRITOS",-118.057,33.872,1
20001289,"08/20/2022 07:36:03 PM","08/20/2022","ROBBERY","047","ROBBERY, STRONG-ARM: Other","600 KEENAN AVE, LOS ANGELES, CA","600 KEENAN AVE","LOS ANGELES",,"022-12472-0287","0287","12472","NO","CA0190002","EAST LOS ANGELES",-118.144,34.021,1
19991850,"08/10/2022 10:30:00 AM","08/10/2022","NON-AGGRAVATED ASSAULTS","146","ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE","200 GENTLE SPRINGS LN, DIAMOND BAR, CA 91765","200 GENTLE SPRINGS LN","DIAMOND BAR","91765","022-05721-2921","2921","05721","NO","CA0190020","WALNUT",-117.812,34.02,2
19998122,"08/17/2022 12:28:42 PM","08/17/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","PACIFIC COAST HWY AND NARBONNE AVE, LOMITA, CA 90717","PACIFIC COAST HWY AND NARBONNE AVE","LOMITA","90717","922-02748-1714","1714","02748","NO","CA0190017","LOMITA",-118.319,33.789,2
19998863,"08/18/2022 03:53:00 AM","08/18/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","COLIMA RD AND PASO REAL AVE, ROWLAND HEIGHTS, CA 91748","COLIMA RD AND PASO REAL AVE","ROWLAND HEIGHTS","91748","922-05947-2932","2932","05947","NO","CA0190020","WALNUT",-117.893,33.987,2
